bioguide_id,name,name_confirm_from_sunlight,in_office
C001036,HON. LOIS CAPPS,REP. LOIS CAPPS,true
G000554,HON. GABRIELLE GIFFORDS,REP. GABRIELLE GIFFORDS,true
G000556,HON. ALAN GRAYSON,REP. ALAN GRAYSON,true
D000533,"HON. JOHN J. DUNCAN, JR.",REP. JOHN DUNCAN JR.,true
A000055,HON. ROBERT B. ADERHOLT,REP. ROBERT ADERHOLT,true
F000449,HON. JEFF FORTENBERRY,REP. JEFF FORTENBERRY,true
C001069,HON. JOE COURTNEY,REP. JOSEPH 'JOE' COURTNEY,true
H001043,HON. PAUL W. HODES,REP. PAUL HODES,true
M001150,HON. CANDICE S. MILLER,REP. CANDICE MILLER,true
H001041,HON. DEAN HELLER,REP. DEAN HELLER,true
H001044,HON. DEBORAH L. HALVORSON,REP. DEBORAH 'DEBBIE' HALVORSON,true
K000009,HON. MARCY KAPTUR,REP. MARCY KAPTUR,true
C001062,HON. K. MICHAEL CONAWAY,REP. K. MICHAEL 'MIKE' CONAWAY,true
S000030,HON. LORETTA SANCHEZ,REP. LORETTA SANCHEZ,true
S001154,HON. BILL SHUSTER,REP. BILL SHUSTER,true
G000548,HON. SCOTT GARRETT,REP. E. SCOTT GARRETT,true
W000314,HON. ROBERT WEXLER,REP. ROBERT WEXLER,false
B001228,HON. MARY BONO MACK,,true
L000274,HON. JERRY LEWIS,REP. JERRY LEWIS,true
M001167,HON. HARRY E. MITCHELL,REP. HARRY MITCHELL,true
P000598,HON. JARED POLIS,REP. JARED POLIS,true
M001166,HON. JERRY MCNERNEY,REP. GERALD 'JERRY' MCNERNEY,true
H001045,HON. GREGG HARPER,REP. GREGG HARPER,true
J000289,HON. JIM JORDAN,REP. JAMES 'JIM' JORDAN,true
H001046,HON. MARTIN HEINRICH,REP. MARTIN HEINRICH,true
P000099,HON. ED PASTOR,REP. ED PASTOR,true
J000126,HON. EDDIE BERNICE JOHNSON,REP. EDDIE JOHNSON,true
S000810,HON. FORTNEY PETE STARK,REP. FORTNEY 'PETE' STARK,true
K000008,HON. PAUL E KANJORSKI,REP. PAUL KANJORSKI,true
V000081,HON. NYDIA M VELAZQUEZ,REP. NYDIA VELAZQUEZ,true
K000336,HON. DENNIS J. KUCINICH,REP. DENNIS KUCINICH,true
L000565,HON. DAVID LOEBSACK,REP. DAVE LOEBSACK,true
B000589,HON. JOHN A BOEHNER,REP. JOHN BOEHNER,true
M001175,HON. WALTER MINNICK,REP. WALTER 'WALT' MINNICK,true
S001148,HON. MICHAEL K. SIMPSON,REP. MICHAEL 'MIKE' SIMPSON,true
W000187,HON. MAXINE WATERS,REP. MAXINE WATERS,true
A000022,HON. GARY L ACKERMAN,REP. GARY ACKERMAN,true
P000149,HON. DONALD M PAYNE,REP. DONALD PAYNE,true
P000591,HON. TOM PRICE,REP. THOMAS 'TOM' PRICE,true
B001234,HON. JOE BACA,REP. JOE BACA,true
M001173,HON. ERIC J. J. MASSA,REP. ERIC MASSA,false
P000197,HON. NANCY PELOSI,REP. NANCY PELOSI,true
J000255,HON. WALTER B JONES,REP. WALTER JONES JR.,true
M001139,HON. GARY G. MILLER,REP. GARY MILLER,true
S000465,HON. IKE SKELTON,REP. IKE SKELTON,true
B000461,HON. BRIAN BILBRAY,REP. BRIAN BILBRAY,true
D000210,HON. WILLIAM D. DELAHUNT,REP. WILLIAM 'BILL' DELAHUNT,true
S001174,HON. BETTY SUTTON,REP. BETTY SUTTON,true
M000485,HON. MIKE MCINTYRE,REP. MIKE MCINTYRE,true
B001256,HON. MICHELE BACHMANN,REP. MICHELE BACHMANN,true
B001255,"HON. CHARLES W. BOUSTANY, JR",REP. CHARLES BOUSTANY JR.,true
R000011,HON. NICK J RAHALL II,REP. NICK JOE 'NICK' RAHALL II,true
M001161,HON. CHARLIE MELANCON,REP. CHARLES 'CHARLIE' MELANCON SR.,true
M001146,HON. JIM MARSHALL,REP. JAMES 'JIM' MARSHALL,true
R000576,HON. C. A. DUTCH RUPPERSBERGER,REP. C.A. DUTCH RUPPERSBERGER,true
B000716,HON. ALLEN BOYD,REP. ALLEN BOYD JR.,true
W000413,HON. ED WHITFIELD,REP. EDWARD 'ED' WHITFIELD,true
C001077,HON. MIKE COFFMAN,REP. MIKE COFFMAN,true
C001053,HON. TOM COLE,REP. TOM COLE,true
P000258,HON. COLLIN C PETERSON,REP. COLLIN PETERSON,true
D000608,HON. KATHLEEN A. DAHLKEMPER,REP. KATHY DAHLKEMPER,true
J000032,HON. SHEILA JACKSON-LEE,,
H001039,HON. JOHN J. HALL,REP. JOHN HALL,true
R000487,HON. EDWARD R ROYCE,REP. EDWARD 'ED' ROYCE,true
M000689,HON. JOHN L MICA,REP. JOHN MICA,true
R000053,HON. CHARLES B RANGEL,REP. CHARLES 'CHARLIE' RANGEL,true
S001176,HON. STEVE SCALISE,REP. STEPHEN 'STEVE' SCALISE,true
F000030,HON. SAM FARR,REP. SAM FARR,true
J000174,HON. SAM JOHNSON,REP. SAMUEL 'SAM' JOHNSON,true
B000013,HON. SPENCER BACHUS,REP. SPENCER BACHUS,true
W000799,HON. TIMOTHY J. WALZ,REP. TIMOTHY 'TIM' WALZ,true
B001252,HON. JOHN BARROW,REP. JOHN BARROW,true
D000197,HON. DIANA DEGETTE,REP. DIANA DEGETTE,true
S001165,HON. ALBIO SIRES,REP. ALBIO SIRES,true
L000562,HON. STEPHEN F. LYNCH,REP. STEPHEN LYNCH,true
O000169,HON. WILLIAM L. OWENS,REP. BILL OWENS,true
B001235,"HON. HENRY E. BROWN, JR.",REP. HENRY BROWN JR.,true
R000582,HON. DAVID P. ROE,REP. DAVID 'PHIL' ROE,true
D000598,HON. SUSAN A. DAVIS,REP. SUSAN DAVIS,true
M001156,HON. PATRICK T. MCHENRY,REP. PATRICK MCHENRY,true
C000794,HON. JERRY F COSTELLO,REP. JERRY COSTELLO,true
C001048,HON. JOHN ABNEY CULBERSON,REP. JOHN CULBERSON,true
L000566,HON. ROBERT E. LATTA,REP. ROBERT 'BOB' LATTA,true
E000226,HON. BOB ETHERIDGE,REP. BOB ETHERIDGE,true
S001045,HON. BART STUPAK,REP. BART STUPAK,true
D000602,HON. ARTUR DAVIS,REP. ARTUR DAVIS,true
R000583,HON. THOMAS J. ROONEY,REP. TOM ROONEY,true
M000087,HON. CAROLYN B MALONEY,REP. CAROLYN MALONEY,true
C001046,HON. ERIC CANTOR,REP. ERIC CANTOR,true
D000492,HON. DAVID DREIER,REP. DAVID DREIER,true
S001162,HON. ALLYSON Y. SCHWARTZ,REP. ALLYSON SCHWARTZ,true
P000422,HON. EARL POMEROY,REP. EARL POMEROY,true
E000179,HON. ELIOT L ENGEL,REP. ELIOT ENGEL,true
C001059,HON. JIM COSTA,REP. JIM COSTA,true
B001236,HON. JOHN BOOZMAN,REP. JOHN BOOZMAN,true
M000508,HON. HOWARD ″BUCK″ MCKEON,REP. HOWARD 'BUCK' MCKEON,true
S000185,HON. ROBERT C SCOTT,REP. ROBERT 'BOBBY' SCOTT,true
D000607,HON. JOE DONNELLY,REP. JOE DONNELLY SR.,true
P000595,HON. GARY C. PETERS,REP. GARY PETERS,true
M001134,HON. SUE MYRICK,REP. SUE MYRICK,true
M001143,HON. BETTY MCCOLLUM,REP. BETTY MCCOLLUM,true
B000208,HON. ROSCOE G BARTLETT,REP. ROSCOE BARTLETT,true
S000583,HON. LAMAR SMITH,REP. LAMAR SMITH,true
R000409,HON. DANA ROHRABACHER,REP. DANA ROHRABACHER,true
B001257,HON. GUS M. BILIRAKIS,REP. GUS 'GUS' BILIRAKIS,true
C001065,HON. CHRISTOPHER P. CARNEY,REP. CHRISTOPHER 'CHRIS' CARNEY,true
G000559,HON. JOHN GARAMENDI,REP. JOHN GARAMENDI,true
C001075,HON. BILL CASSIDY,REP. WILLIAM 'BILL' CASSIDY,true
K000368,HON. ANN KIRKPATRICK,REP. ANN KIRKPATRICK,true
B001251,HON. G.K. BUTTERFIELD,REP. GEORGE 'G.K.' BUTTERFIELD JR.,true
B000652,HON. LEONARD L. BOSWELL,REP. LEONARD BOSWELL,true
T000469,HON. PAUL D. TONKO,REP. PAUL TONKO,true
I000057,HON. STEVE ISRAEL,REP. STEVE ISRAEL,true
R000004,HON. GEORGE P RADANOVICH,REP. GEORGE RADANOVICH,true
P000034,HON. FRANK PALLONE JR,REP. FRANK PALLONE JR.,true
F000450,HON. VIRGINIA FOXX,REP. VIRGINIA 'VIRGINIA' FOXX,true
A000361,HON. RODNEY ALEXANDER,REP. RODNEY ALEXANDER,true
F000444,HON. JEFF FLAKE,REP. JEFF FLAKE,true
S000275,HON. JOHN SHADEGG,REP. JOHN SHADEGG,true
S001156,HON. LINDA T. SANCHEZ,REP. LINDA SANCHEZ,true
W000215,HON. HENRY A WAXMAN,REP. HENRY WAXMAN,true
S000672,HON. VIC SNYDER,REP. VICTOR 'VIC' SNYDER,true
C001037,HON. MICHAEL E. CAPUANO,REP. MICHAEL 'MIKE' CAPUANO,true
C001038,HON. JOSEPH CROWLEY,REP. JOSEPH 'JOE' CROWLEY,true
F000445,HON. J. RANDY FORBES,REP. JAMES 'RANDY' FORBES,true
P000597,HON. CHELLIE PINGREE,REP. CHELLIE PINGREE,true
B001262,HON. PAUL BROUN,REP. PAUL BROUN,true
W000796,HON. LYNN A WESTMORELAND,REP. LYNN WESTMORELAND,true
S001143,HON. MARK E SOUDER,REP. MARK SOUDER,false
C001064,HON. JOHN CAMPBELL,REP. JOHN CAMPBELL III,true
R000578,HON. DAVID G. REICHERT,REP. DAVID 'DAVE' REICHERT,true
M001172,HON. BETSY MARKEY,REP. BETSY MARKEY,true
F000010,HON. ENI F H FALEOMAVAEGA,DEL. ENI FALEOMAVAEGA JR,true
C001050,HON. DENNIS A. CARDOZA,REP. DENNIS CARDOZA,true
T000326,HON. EDOLPHUS TOWNS,REP. EDOLPHUS 'ED' TOWNS,true
D000216,HON. ROSA L DELAURO,REP. ROSA DELAURO,true
D000327,HON. NORMAN D DICKS,REP. NORMAN 'NORM' DICKS,true
V000128,HON. CHRIS VAN HOLLEN,REP. CHRISTOPHER 'CHRIS' VAN HOLLEN JR.,true
N000181,HON. DEVIN NUNES,REP. DEVIN NUNES,true
C001078,HON. GERALD E ″GERRY″ CONNOLLY,REP. GERALD 'GERRY' CONNOLLY,true
P000373,HON. JOSEPH R. PITTS,REP. JOSEPH 'JOE' PITTS,true
M001120,HON. JOHN P. MURTHA,REP. JOHN 'JACK' MURTHA,false
L000397,HON. ZOE LOFGREN,REP. ZOE LOFGREN,true
L000480,HON. NITA M LOWEY,REP. NITA LOWEY,true
H000636,HON. RUBEN HINOJOSA,REP. RUBEN HINOJOSA SR.,true
F000455,HON. MARCIA L. FUDGE,REP. MARCIA FUDGE,true
M000933,HON. JAMES P MORAN JR,REP. JAMES 'JIM' MORAN JR.,true
T000462,HON. PATRICK J. TIBERI,REP. PATRICK 'PAT' TIBERI,true
C000714,HON. JOHN CONYERS JR,REP. JOHN CONYERS JR.,true
H001040,HON. PHIL HARE,REP. PHIL HARE,true
D000299,HON. LINCOLN DIAZ-BALART,REP. LINCOLN DIAZ-BALART,true
F000043,HON. CHAKA FATTAH,REP. CHAKA FATTAH SR.,true
P000587,HON. MIKE PENCE,REP. MIKE PENCE,true
M001148,HON. KENDRICK B. MEEK,REP. KENDRICK MEEK SR.,true
M001174,HON. MICHAEL E. MCMAHON,REP. MICHAEL MCMAHON,true
B001250,HON. ROB BISHOP,REP. ROB BISHOP,true
T000260,HON. TODD TIAHRT,REP. TODD TIAHRT,true
J000285,HON. TIMOTHY V. JOHNSON,REP. TIMOTHY 'TIM' JOHNSON,true
B001149,HON. DAN BURTON,REP. DAN BURTON,true
D000191,HON. PETER A DEFAZIO,REP. PETER DEFAZIO,true
D000599,HON. LINCOLN DAVIS,REP. LINCOLN DAVIS,true
K000210,HON. PETER T KING,REP. PETER 'PETE' KING,true
W000793,HON. DAVID WU,REP. DAVID WU,true
S000749,HON. JOHN M SPRATT JR,REP. JOHN SPRATT JR.,true
M001165,HON. KEVIN MCCARTHY,REP. KEVIN MCCARTHY,true
M001157,HON. MICHAEL T. MCCAUL,REP. MICHAEL MCCAUL,true
H001036,HON. JEB HENSARLING,REP. JEB HENSARLING,true
U000031,HON. FRED UPTON,REP. FREDERICK 'FRED' UPTON,true
R000575,HON. MIKE ROGERS (AL),REP. MICHAEL 'MIKE' ROGERS,true
C001060,HON. RUSS CARNAHAN,REP. JOHN 'RUSS' CARNAHAN,true
A000363,HON. MICHAEL A ARCURI,REP. MICHAEL ARCURI,true
G000289,HON. BOB GOODLATTE,REP. ROBERT 'BOB' GOODLATTE,true
S001178,HON. MARK H. SCHAUER,REP. MARK SCHAUER,true
F000339,HON. BARNEY FRANK,REP. BARNEY FRANK,true
R000581,HON. LAURA RICHARDSON,REP. LAURA RICHARDSON,true
M001158,HON. KENNY MARCHANT,REP. KENNY MARCHANT,true
W000792,HON. ANTHONY D. WEINER,REP. ANTHONY WEINER,true
R000435,HON. ILEANA ROS-LEHTINEN,REP. ILEANA ROS-LEHTINEN,true
P000586,HON. ADAM H. PUTNAM,REP. ADAM PUTNAM,true
V000108,HON. PETER J VISCLOSKY,REP. PETER 'PETE' VISCLOSKY,true
D000600,HON. MARIO DIAZ-BALART,REP. MARIO DIAZ-BALART,true
A000364,HON. JOHN H. ADLER,REP. JOHN ADLER,true
G000558,HON. BRETT GUTHRIE,REP. STEVEN GUTHRIE,true
M001137,HON. GREGORY W. MEEKS,REP. GREGORY MEEKS,true
S001155,HON. JOHN SULLIVAN,REP. JOHN SULLIVAN,true
P000594,HON. ERIK PAULSEN,REP. ERIK PAULSEN,true
K000372,HON. MARY JO KILROY,REP. MARY JO KILROY,true
C001045,HON. ANDER CRENSHAW,REP. ANDER CRENSHAW,true
T000463,HON. MICHAEL R. TURNER,REP. MICHAEL 'MIKE' TURNER,true
C001061,HON. EMANUEL CLEAVER,REP. EMANUEL CLEAVER II,true
K000363,HON. JOHN KLINE,REP. JOHN KLINE,true
B001231,HON. SHELLEY BERKLEY,REP. SHELLEY BERKLEY,true
C001063,HON. HENRY CUELLAR,REP. HENRY CUELLAR,true
M000133,HON. EDWARD J MARKEY,REP. EDWARD 'ED' MARKEY,true
M001178,HON. SCOTT MURPHY,REP. SCOTT MURPHY,true
B001264,HON. BOBBY BRIGHT,REP. BOBBY BRIGHT,true
B001230,HON. TAMMY BALDWIN,REP. TAMMY BALDWIN,true
S001145,HON. JANICE D. SCHAKOWSKY,REP. JANICE 'JAN' SCHAKOWSKY,true
K000113,HON. PATRICK J KENNEDY,REP. PATRICK KENNEDY,true
B000755,HON. KEVIN BRADY,REP. KEVIN BRADY,true
B001232,HON. JUDY BIGGERT,REP. JUDY BIGGERT,true
R000462,HON. STEVEN R. ROTHMAN,REP. STEVEN 'STEVE' ROTHMAN,true
B001243,HON. MARSHA BLACKBURN,REP. MARSHA BLACKBURN,true
L000563,HON. DANIEL LIPINSKI,REP. DANIEL LIPINSKI,true
K000369,HON. LARRY KISSELL,REP. LAWRENCE 'LARRY' KISSELL,true
N000015,HON. RICHARD E NEAL,REP. RICHARD NEAL,true
P000592,HON. TED POE,REP. TED POE,true
F000116,HON. BOB FILNER,REP. BOB FILNER,true
C001051,HON. JOHN R. CARTER,REP. JOHN CARTER,true
B001245,HON. MADELINE Z. BORDALLO,DEL. MADELINE BORDALLO,true
L000553,HON. STEVE C LATOURETTE,REP. STEVEN LATOURETTE,true
W000119,HON. ZACH WAMP,REP. ZACH WAMP,true
H001048,HON. DUNCAN HUNTER,REP. DUNCAN HUNTER,true
S001177,HON. GREGORIO SABLAN,DEL. GREGORIO SABLAN,true
H001042,HON. MAZIE K. HIRONO,REP. MAZIE HIRONO,true
H000213,HON. JANE HARMAN,REP. JANE HARMAN,true
K000370,HON. SUZANNE M. KOSMAS,REP. SUZANNE KOSMAS,true
P000593,HON. ED PERLMUTTER,REP. ED PERLMUTTER,true
G000021,HON. ELTON GALLEGLY,REP. ELTON GALLEGLY,true
B000490,HON. SANFORD D BISHOP JR,REP. SANFORD BISHOP JR.,true
M000312,HON. JAMES P. MCGOVERN,REP. JAMES 'JIM' MCGOVERN,true
S001171,HON. HEATH SHULER,REP. HEATH SHULER,true
M001144,HON. JEFF MILLER,REP. JEFF MILLER,true
H000324,HON. ALCEE L HASTINGS,REP. ALCEE HASTINGS SR.,true
L000517,HON. DANIEL E. LUNGREN,REP. DANIEL 'DAN' LUNGREN,true
G000410,HON. GENE GREEN,REP. RAYMOND 'GENE' GREEN,true
