bioguide_id,name,name_confirm_from_sunlight,in_office,sort
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000630,2020 HON. ANTONIO DELGADO,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000627,2020 HON. VAL BUTLER DEMINGS,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000623,2020 HON. MARK DESAULNIER,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000616,2020 HON. SCOTT DESJARLAIS,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000610,2020 HON. THEODORE E. DEUTCH,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000600,2020 HON. MARIO DIAZ-BALART,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000624,2020 HON. DEBBIE DINGELL,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000399,2020 HON. LLOYD DOGGETT,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000482,2020 HON. MICHAEL F. DOYLE,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000615,2020 HON. JEFF DUNCAN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
D000628,2020 HON. NEAL P. DUNN,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000294,2020 HON. TOM EMMER,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
E000179,2020 HON. ELIOT L. ENGEL,,,
