TITLE (ORIGINAL),Corrected Title,Category
PROFESSIONAL STAFF/COUNSEL,Professional Staff/Counsel,Professional staff/counsel
DEP STAFF DIR/GENERAL COUNSEL,Deputy Staff Director/General Counsel,Deputy staff director/general counsel
SR PROF. STAFF/COUNSEL ,Senior Professional Staff/Counsel,Senior professional staff/counsel
SUBCOMMITTE STAFF DIRECTOR/COU,Subcommittee Staff Director/Counsel,Staff director/counsel
PRODUCTION/ENGINEER SPEC (TEMP  ,Production/Engineer Specialist,Production and engineer specialist
REC/WAREHOUSE SPEC (A)  ,Receiving and Warehouse Specialist,Receiving and warehouse specialist
RECEIVING/WAREHOUSE SPECIALIST  ,Receiving and Warehouse Specialist,Receiving and warehouse specialist
LEG ASST/CONSTIT OUTREACH COOR,Legislative Assistant/Constituent Outreach Coordinator,Legislative assistant/constituent outreach coordinator
STAFF/PRESS ASSISTANT,Staff/Press Assistant,Staff/press assistant
DIST/SCH-SPEC PROJECTS COORD,District Scheduler/Special Projects Coordinator,District scheduler/special projects coordinator
SCHEDULER/PRESS RELATIONS,Scheduler/Press Relations,Scheduler/press relations
CONSTITUENT SVC REP/FINANC DIR,Constituent Services Representative/Finance Director,Constituent services representative/finance director
CONSTITUENT SVC REP/FINANC DIR ,Constituent Services Representative/Finance Director,Constituent services representative/finance director
DISTRICT SCHEDULER/OFFICE MANA,District Scheduler/Office Manager,District scheduler/office manager
DISTRICT SCHEDULER/OFFICE MANA ,District Scheduler/Office Manager,District scheduler/office manager
CONGRESSIONAL LIAISON/CASEWORK,Congressional Liaison/Caseworker,Liaison/caseworker
SCHEDULER/EXECUTIVE ASSISTANT ,Scheduler/Executive Assistant,Scheduler/executive assistant
LEGIS CORR/DIR OF CONST CORR,Legislative Correspondent/Director of Constituent Correspondent,Legislative correspondent/director
LEGIS AIDE/PROJECTS/SYS ADMIN,Legislative Aide/Projects/Systems Administrator,Legislative aide/projects/systems administrator
LEGIS. CORRESPONDENT/WEB ASST.,Legislative Correspondent/Web Assistant,Legislative correspondent/web assistant
EXEC ASST/DPTY CHF OF STAFF,Executive Assistant/Deputy Chief of Staff,Executive assistant/deputy chief of staff
LEGISLATIVE ASST/SCHEDULER,Legislative Assistant/Scheduler,Legislative assistant/scheduler
LEGISLATIVE AIDE/LEGIS CORRESP,Legislative Aide/Legislative Correspondent,Legislative aide/legislative correpsondent
LEGISLATIVE AIDE/LEGIS CORRESP ,Legislative Aide/Legislative Correspondent,Legislative aide/legislative correpsondent
DEP. CHIEF OF STAFF/LEG. DIR. ,Deputy Chief of Staff/Legislative Director,Deputy chief of staff/legislative director
LEG. CORRESPONDENT/SYS ADMIN.,Legislative Correspondent/Systems Administrator,Legislative correspondent/systems administrator
SCHEDULER/OFFICE MANAGER ,Scheduler/Office Manager,Scheduler/office manager
