TITLE (ORIGINAL),Corrected Title,Category
COUNSEL TO RANKING REP. MEMBER,Counsel to Ranking Representative Member,Counsel
COUNSEL TO THE FULL COMMITTEE,Counsel to the Full Committee ,Counsel
"COUNSEL, MINORITY, FC","Counsel, Minority, Full Committee",Counsel
"COUNSEL, SUBCOMM ON RAILROADS","Counsel, Subcommittee on Railroads",Counse
"COUNSEL,WATER RESOURCES",Counsel - Water Resources Subcommittee,Counsel
COUNSEL-EC DEV SUB-SHARED STAF,"Counsel - Economic Development Subcommittee, Shared Staff",Counsel
COUNSEL-HIGHWAYS & TRANSIT,Counsel - Highways and Transit Subcommittee,Counsel
COUNSELOR,Counselor,Counsel
COUNSEL-OVERSIGHT & INV,Counsel - Oversight and Investigations Subcommittee,Counsel
CURATORIAL RESEARCH ASSISTANT,Curatorial Research Assistant,Curatorial research assistant  
CUSTOMER RELATIONS MANAGER,Customers Relations Manager,Customer relations manager  
CUSTOMER SOLUTIONS SUPP SPECIA,Customer Solutions Support Specialist,Customer solutions support specialist  
D.C. OFFICE COORDINATOR,D.C. Office Coordinator,Office coordinator  
DAIRY SPECIALIST,Dairy Specialist,Policy specialist  
DC CHIEF OF STAFF,D.C. Chief of Staff,Chief of staff  
DEFENSE POLICY DIRECTOR,Defense Policy Director,Policy director  
DELAWARE COUNTY STAFF DIRECTOR,Delaware County Staff Director,District staff director  
DEMOCRATIC STAFF ASSISTANT,Democratic Staff Assistant,Staff assistant  
DEMOCRATIC SYSTEMS ADMINISTRAT,Democratic Staff Administrator,Systems administrator  
DEP CHF COUN & DIR OF ADV & ED,Deputy Chief Counsel and Director of Advocacy and Education,Deputy chief counsel/director
DEP COMM DIR & CONST SVC AIDE,Deputy Communications Director and Constituent Services Aide,Deputy communication director and constituent service aide  
DEP DIR OF ED & HUMAN SVS POL,Deputy Director of Education and Human Services Policy,Deputy director
DEP FLOOR DIR FOR COALITIONS,Deputy Floor Director for Coalitions,Deputy floor director
DEP PRESS SEC & DIR SPEC MEDIA,Deputy Press Secretary and Director of Special Media,Deputy press secretary/special media director
DEP SAA POLICE SVCS&COMM REL,Deputy Senior Administrative Assistant of Policy Services and Communications Relations,Deputy senior administrative assistant/community relations
"DEP. CHIEF OF STAFF, FULL COMM","Deputy Chief of Staff, Full Committee",Deputy chief of staff
DEP. CHIEF OF STF-SPEC PROJECT,Deputy Chief of Staff-Special Projects,Deputy chief of staff
DEPTY CHIEF INVESTIGATE COUNSE,Deputy Chief of Investigative Counsel,Deputy chief counsel 
DEPTY COMM STF DIR FOR HEALTH,Deputy Communications Staff Director for Health,Deputy communication staff director
DEPTY DIR OF ADMIN & OPERATION,Deputy Director of Administration and Operations,Deputy director
DEPUTY ADMINISTRATIVE ASST,Deputy Administrative Assistant,Deputy administrative assistant  
DEPUTY ADMINISTRATOR,Deputy Administrator,Deputy administrator  
DEPUTY CAO FOR OPERATIONS,Deputy Chief Administrative Officer for Operations,Deputy chief administrative officer
DEPUTY CASEWORK DIRECTOR,Deputy Casework Director,Deputy casework director  
DEPUTY CHF OF STF - WASH OFFIC,Deputy Chief of Staff - Washington Office,Deputy chief of staff
DEPUTY CHIEF OF STAFF (S),Deputy Chief of Staff ,Deputy chief of staff
DEPUTY CHIEF OF STAFF-STATUTOR,Deputy Chief of Staff - Statutor,Deputy chief of staff
DEPUTY COALITIONS DIRECTOR,Deputy Coalitions Director,Deputy director  
DEPUTY COMM DIRECTOR,Deputy Communications Director,Deputy communication director  
DEPUTY COMMUICATIONS DIRECTOR,Deputy Communications Director,Deputy communication director  
DEPUTY COUNSEL,Deputy Counsel,Deputy counsel  
DEPUTY DIR LEG OPERATIONS,Deputy Director of Legislative Operations,Deputy director
DEPUTY DIR OF WORKFORCE POLICY,Deputy Director of Workforce Policy,Deputy director
DEPUTY DIRECTOR - MEMBER SVCS,Deputy Director - Member Services,Deputy director
DEPUTY DIRECTOR OF DC OFFICE,Deputy Director of D.C. Office,Deputy director
DEPUTY DIRECTOR OF MEMBER SVCS,Deputy Director of Member Services,Deputy director
DEPUTY DIRECTOR OF SPECIAL OPS,Deputy Director of Special Operations,Deputy director
"DEPUTY DIRECTOR, ACCOUNTING","Deputy Director, Accounting",Deputy director
DEPUTY DISTRICT CHIEF OF STAFF,Deputy District Chief of Staff,Deputy district chief of staff  
DEPUTY DISTRICT DIRECTOR ,Deputy District Director ,Deputy district director   
DEPUTY DISTRICT REPRESENTATIVE,Deputy District Representative,Deputy district representative  
DEPUTY FIELD DIRECTOR,Deputy Field Director,Deputy field director director  
DEPUTY FIELD REPRESENTATIVE,Deputy Field Representative,Deputy field director representative  
DEPUTY FLOOR ASSISTANT,Deputy Floor Assistant,Deputy floor assistant  
DEPUTY FLOOR DIRECTOR,Deputy Floor Director for Coalitions,Deputy floor director  
DEPUTY GENERAL COUNSEL,Deputy General Counsel,Deputy general counsel  
DEPUTY HISTORIAN OF THE HOUSE,Deputy Historian of the House,Deputy historian of the house  
"DEPUTY IG, ADVISORY &ADMIN SVC","Deputy Inspector General, Advisor and Administrative Services",Deputy inspector general
"DEPUTY IG, AUDIT & INVESTIGATN","Deputy Inspector General, Audit and Investigations",Deputy inspector general
DEPUTY INFOMATION TECH. DIRECT,Deputy Information Technology Director,Deputy infomation technology director  
DEPUTY INFORMATION OFFICER,Deputy Information Officer,Deputy information officer  
DEPUTY LAW REVISION COUNSEL,Deputy Law Revision Counsel,Deputy law revision counsel  
DEPUTY OVERSIGHT COUNSEL,Deputy Oversight Counsel,Deputy counsel  
DEPUTY OVERSIGHT DIRECTOR,Deputy Oversight Director,Deputy director  
DEPUTY PARLIAMENTARIAN,Deputy Parliamentarian,Deputy parliamentarian  
DEPUTY SERGEANT AT ARMS,Deputy Sergeant at Arms,Deputy sergeant at arms  
DEPUTY SPEECHWRITER,Deputy Speechwriter,Deputy speechwriter  
DEVELOPMENT DIRECTOR,Development Director,Development director  
DIR COMM & COMMUNITY OUTREACH,Director of Communications and Community Outreach,Director communication and community outreach  
DIR EMERGENCY CONT PREP,Director of Emergency and Continuing Preparedness,Director
"DIR LEGIS CORR, TECH & WEB ADM","Director of Legislative Correspondence, Technology and Web Administration",Director/technology and web administrator
DIR MANAGEMENT ADVISORY SVCS,Director of Management Advisory Services,Director
DIR OF ADMIN & EXTERNAL AFFAIR,Director of Administrative and External Affairs,Director
DIR OF COMM DEV.,Director of Community Development,Director of communication development  
DIR OF COMMUNCTNS & SPEC PROJE,Director of Communications and Special Projects,Director of communications/project specialist
DIR OF CONSTITUENT RELATIONS,Director of Constituent Relations,Director of constituent relations  
DIR OF EDU & HUMAN SERV POLICY,Director of Education and Human Services Policy,Director
DIR OF GOV BUS & COMMUN AFFAIR,Director of Government Business and Community Affairs,Director
DIR OF INFO TECHNOLOGY-F.C.,"Director of Information Technology, Full Committee",Director
DIR OF INFOR SVCS,Director of Information Services,Director
DIR OF LEGISLATION & COMMUNICA,Director of Legislation and Communications,Director
DIR OF MBR OUTREACH-VICE CHAIR,Director of Member Outreach - Vice Chair,Director
DIR OF POLICY & OUTREACH-F.C.,Director of Policy and Outreach - Full Committee,Director
DIR OF SCHEDLNG & SPEC EVENTS,Director of Scheduling and Special Events,Director
DIR OF SCHEDULING & NEW MEDIA,Director of Scheduling and New Media,Director
DIR PROJECTS & OUTREACH,Director of Projects and Outreach,Director
"DIR, DIST PLANNING & OUTREACH",Director of District Planning and Outreach,Director
"DIR, IDENTIFICATION SERVICES",Director of Identification Services,Director
"DIR, INFO SYSTEMS AUDITS",Director of Information Systems and Audits,Director
"DIR, INFOSYS, QUALITY & CONTR","Director of Information Systems, Quality, and Contracts",Director
"DIR, OFFICE OF EMPLOYEE ASSIST",Director of Office of Employee Assistance,Director
"DIR, OFFICE OF MEM & COMM SRVC",Director of Office of Member and Community Service,Director
"DIR, PERFORMANCE & FIN AUDITS",Director of Performance and Financial Audits,Director
DIR. INTRAGOVERNMENT RELATIONS,Director of Intragovernmental Affairs,Director
DIR. OF CONSTITUENT AFFAIRS,Director of Constituent Affairs,Director
DIR. OF FINANCIAL DISC. REVIEW,Director of Financial Disclosure Review,Director
DIR. OF LEGISLATIVE OPERATIONS,Director of Legislative Operations,Director
DIR. OFFICE SUPPLY & GIFT SHOP,Director of Office Supply and Gift Shop,Director
DIRECTOR BUDGET POLICY,Director of Budget Policy,Director
DIRECTOR BUSINESS CONTINUITY,Director Business Continuity,Director
DIRECTOR ENTERPRISE OPERATIONS,Director of Enterprise Operations,Director
DIRECTOR FACILITIES MANAGEMENT,Director of Facilities Management,Director
DIRECTOR FINANCIAL SOLUTIONS,Director of Financial Solutions,Director
DIRECTOR FURNISHINGS,Director of Furnishings,Director
DIRECTOR MEMBERS’ SERVICES,Director of Members' Services,Director
DIRECTOR OF BUDGET REVIEW,Director of Budget Review,Director
DIRECTOR OF CASEWORK,Director of Casework,Director
DIRECTOR OF COALITIONS,Director of Coalitions,Director
DIRECTOR OF CONSTITUENT CORRE,Director of Constituent Correspondence,Director
DIRECTOR OF CONSTITUTENT SVCS,Director of Constituent Services,Director
DIRECTOR OF DISTRICT RELATIONS,Director of District Relations,Director
DIRECTOR OF EXTERNAL RELATIONS,Director of External Relations,Director
DIRECTOR OF FLOOR OPERATIONS,Director of Floor Operations,Director
DIRECTOR OF FLOOR OPS,Director of Floor Operations,Director
DIRECTOR OF IMMIGRATION AFFAIR,Director of Immigration Affairs,Director
DIRECTOR OF INFORMATION TECHNO,Director of Information Technology,Director
DIRECTOR OF INTERNET COMMS,Director of Internet Communications,Director
DIRECTOR OF LEGISLATIVE AFFAIR,Director of Legislative Affairs,Director
DIRECTOR OF ONLINE COMMUNICA,Director of Online Communications,Director
DIRECTOR OF PERSONNEL,Director of Personnel,Director
DIRECTOR OF PROJECTS,Director of Projects,Director
DIRECTOR OF PROTOCOL,Director of Protocol,Director
DIRECTOR OF PUBLIC AFFAIRS,Director of Public Affairs,Director
DIRECTOR OF PUBLIC RELATIONS,Director of Public Relations,Director
DIRECTOR OF RESEARCH,Director of Research,Director
DIRECTOR OF SPECIAL OPERATIONS,Director of Special Operations,Director
DIRECTOR OF STRATEGIC PLANNING,Director of Strategic Planning,Director
DIRECTOR OF WEB COMMUNICATIONS,Director of Web Communications,Director
DIRECTOR OF WORKFORCE POLICY,Director of Workforce Policy,Director
DIRECTOR SENIOR CITIZEN AFFAIR,Director of Senior Citizen Affairs,Director
DIRECTOR TECH SUPPORT,Director of Technology Support,Director
"DIRECTOR, ADMIN & OPERATIONS",Director of Administration and Operations,Director
"DIRECTOR, ASIAN COMM RELATIONS",Director of Asian Community Relations,Director
"DIRECTOR, LOGISTICS",Director of Logistics,Director
"DIRECTOR, SPECIAL PROJECTS",Director of Special Projects,Director
"DIRECTOR, TRAINING & DEVLOPMEN",Director of Training and Development,Director
"DIRECTOR, WOUNDED WARRIOR PGM",Director of Wounded Warrior Program,Director
DIRECTOR-HOUSE CHILD CARE CNTR,Director of House Child Care Center,Director
DIR-HOUSE RECORDING STUDIO,Director of House Recording Studio,Director
DIR-PROCUREMENT MANAGEMENT,Director of Procurement Management,Director
DISRICT SENIOR POLICY ADVISOR,District Senior Policy Advisor,District senior policy advisor  
DIST COORDINATOR EAST REGION,"District Coordinator, East Region",District coordinator
DIST DIR OF CONSTIT SVCS,District Director of Constituent Services,District director
"DIST DIR, MILITARY AFFAIRS",District Director of Military Affairs,District director
DIST OPERATIONS DIRECTOR,District of Operations Director,District director  
DIST OUTREACH REPRESENTATIVE,District Outreach Representative,District outreach representative  
DIST PRESS SECY,District Press Secretary,District press secretary  
DISTRICT & COMMUNICATIONS DIR,District and Communications Director,District communications director  
DISTRICT ADMINISTRATIVE ASSIST,District Administrative Assistant,District administrative assistant  
DISTRICT ADVISOR,District Advisor,District advisor  
DISTRICT COMMUNIATIONS & OUTRE,District Communications and Outreach,District communications and outreach 
DISTRICT CONSTITUENT ADVOCATE,District Constituent Advocate,District constituent advocate  
DISTRICT COORD. POINTS REGION,District Coordinator of Points Region,District coordinator
DISTRICT COUNSELOR,District Counselor,District counselor  
DISTRICT DEPUTY DIRECTOR,District Deputy Director,District deputy director  
DISTRICT DIR - FIELD SERVICES,District Direction - Field Services,District director of field director services  
DISTRICT DIR & DEPUTY C.O.S,District Director and Deputy Chief of Staff,District director/deputy chief of staff
"DISTRICT DIR, DEPUTY C.O.S","District Director, Deputy Chief of Staff",District director/deputy chief of staff
DISTRICT DIR. - JEFFERSON CO,District Director - Jefferson County,District director
DISTRICT DIRECTOR ,District Director ,District director   
DISTRICT DIRECTOR-NEW MEXICO,District Director - New Mexico,District director
DISTRICT FIELD CORRDINATOR,District Field Coordinator,District field director corrdinator  
DISTRICT OFFICE ASSISTANT,District Office Assistant,District office assistant  
DISTRICT OFFICE COORDINATOR,District Office Coordinator,District office coordinator  
DISTRICT OFFICE OF STAFF,District Office of Staff,District office staff  
DISTRICT OUTREACH DIRECTOR,District Outreach Director,District outreach director  
DISTRICT PRESS SECRETARY,District Press Secretary,District press secretary  
DISTRICT PROJECT MANAGER,District Project Manager,District project manager  
DISTRICT PROJECTS MANAGER,District Projects Manager,District project manager
DISTRICT RECEPTIONIST,District Receptionist,District receptionist  
DISTRICT REP-OUTREACH,District Representative - Outreach,District representative/outreach coordinator
DISTRICT SPECIAL ASSISTANT,District Special Assistant,District special assistant  
DOCUMENT PRODUCTION SPECIALST,Document Production Specialist,Document production specialst  
DOCUMENTS CLERK,Documents Clerk,Documents clerk  
DOWNRIVER COORDINATOR,Downriver Coordinator,District coordinator  
ECON DEVELOPMENT REP,Economic Development Representative,Economic development representative  
ECONOMIC DEVELOPMENT SPECIALIS,Economic Development Specialist,Economic development specialist
EDITOR & PRINTER,Editor and Printer,Editor/printer  
EDITOR (P),Editor ,Editor   
EDUCATION POLCY ADVIS FOR SUBC,Education Policy Advisor for Subcommittee,Policy advisor
EDUCATION POLICY ASSOCIATE,Education Policy Associate,Policy associate  
EDUCATION POLICY COUNSEL,Education Policy Counsel,Policy counsel
ENERGY ADVISOR,Energy Advisor,Advisor  
ENGINEERING OPS MANAGER,Engineering Operations Manager,Operations manager  
ENTERP STORAGE SYS BRANCH MGR,Enterprise Storage Systems Branch Manager,Enterprise storage systems branch manager  
ENTERP TECHNOL SYS BRANCH MGR,Enterprise Technology Systems Branch Manager,Enterprise technology systems branch manager  
ENVIRONMENTAL LEGISLATIVE ASSI,Environmental Legislative Assistant,Legislative assistant  
EVERETT CASE WORKER,Everett Case Worker,Caseworker  
EXEC DIRECTOR- IRC,Executive Director - Immigration Reform Caucus,Executive director caucus
EXECUTIVE ASST OFFICE MANAGER,Executive Assistant Office Manager,Executive assistant office manager  
"EXECUTIVE DIR, WESTERN CAUCUS","Executive Director, Western Caucus",Executive director caucus  
EXECUTIVE LEGIS ASSISTANT,Executive Legislative Assistant,Executive legislative assistant  
EXECUTIVE SCHEDULER,Executive Scheduler,Executive scheduler  
EXECUTIVE SECRETARY,Executive Secretary,Executive secretary  
EXECUTIVE STAFF ASSISTANT,Executive Staff Assistant,Executive staff assistant  
FACILITIES MANAGEMENT SPECIALI,Facilities Management Specialist,Facilities management specialist  
FIELD ASSISTANT,Field Assistant,Field director assistant  
FIELD COORDINATOR,Field Coordinator,Field director coordinator  
FIELD OFFICE REPRESENTATIVE,Field Office Representative,Field director office representative  
FIELD OUTREACH COORDINATOR,Field Outreach Coordinator,Field director outreach coordinator  
FIELD REP & SPEC PROJECTS COOR,Field Representative and Special Projects Coordinator,Field director representative/specialist projects coordinator  
FIELD REP & SYS ADMIN,Field Representative and Systems Administrator,Field director representative/systems administrator  
FIELDWORKER,Fieldworker,Field worker  
FINANCE ASSISTANT,Finance Assistant,Finance assistant  
FINANCIAL ADMIN. - REPUBLICAN,Financial Administration - Republican,Financial administrator
FINANCIAL LEGISLATIVE ASST,Financial Legislative Assistant,Legislative assistant  
FINANCIAL MANAGER,Financial Manager,Financial manager  
FIRST ASSISTANT,First Assistant,First assistant  
FLOOR ASSISTANT (STAT),Floor Assistant (Statutory),Floor assistant
FLOOR DIRECTOR,Floor Director,Floor director  
FOREIGN AFFAIRS ADVISOR,Foreign Affairs Director,Advisor  
FULL COMMITTEE CLERK,Full Committee Clerk,Committee clerk  
FULL COMMITTEE COUNSEL,Full Committee Counsel,Committee counsel  
GALESBURG OFFICE DIRECTOR,Galesburg Office Director,District office director  
GASTON COUNTY COORDINATOR,Gaston County Coordinator,District office coordinator  
GEN COUNSEL & DEP STAFF DIREC,General Counsel and Deputy Staff Director,General counsel/deputy staff director  
GOV’T & COMMUNITY REL. LIAISON,Government and Community Relations Liaison,Liaison
GRANTS & PROJECTS COORDINATOR,Grants and Projects Coordinator,Grants and projects coordinator  
GRANTS ADMINISTRATOR,Grants Administrator,Grants administrator  
GRANTS MANAGER,Grants Manager,Grants manager  
GRAPHICS MANAGER,Graphics Manager,Graphics manager  
HARDWARE ENGINEER,Hardware Engineer,Hardware engineer  
HEAD TEACHER,Head Teacher,Head teacher  
HEALTH CARE COUNSEL,Health Care Counsel,Counsel  
HEALTH COUNSEL,Health Counsel,Counsel  
HEALTH LEGISLATIVE ASSISTANT,Health Legislative Assistant,Legislative assistant  
HEARING CLERK,Hearing Clerk,Hearing clerk  
HISTORIAN OF THE HOUSE,Historian of the House,Historian of the house  
HOMELAND SECURITY ADVISOR,Homeland Security Advisor,Advisor  
HOMELAND SECURITY ASSISTANT,Homeland Security Assistant,Assistant  
HOUSE PAGE RESIDENCE HALL DIR,House Page Residence Hall Director,House page residence hall director  
HOUSE TECHNOLOGY DIRECTOR,House Technology Director,Director  
HUMAN RESOURCES DIRECTOR,Human Resources Director,Director  
HUMAN RESOURCES STAFF DIRECTOR,Human Resources Staff Director,Staff director  
HUMAN SVCS LIAISON CASEWKR,Human Services Liaison Caseworker,Liaison/caseworker  
HUNTSVILLE CASEWORKER,Huntsville Caseworker,Caseworker  
HWY POLICY DIR-HWY TRANSIT SUB,Highway Policy Director - Highway Transit Subcommittee,Policy director
IMMIGRATION CASEWORKER,Immigration Caseworker,Caseworker  
IMMIGRATION SPECIALIST,Immigration Specialist,Policy specialist  
INFO SYSTEMS SECURITY MNGR,Information Systems Security Manager,Information systems security manager  
INFORMATION RESOURCES MANAGER,Information Resources Manager,Information resources manager  
INFORMATION TECH ASST,Information Technology Assistant,Information technical assistant  
INFORMATION TECHNOLOGY ASSIST,Information Technology Assistant,Information technology assistant  
INFORMATION TECHNOLOGY SPECIAL,Information Technology Special,Information technology specialist
INTERIM PRESS SECRETARY,Interim Press Secretary ,Interim press secretary  
INTERN COORDINATOR,Intern Coordinator,Intern coordinator  
INVENTORY ADMINISTRATOR,Inventory Administrator,Inventory administrator  
INVESTIGATIVE ASSOCIATE,Investigative Associate,Investigative associate  
"INVESTIGATOR,OVERSIGHT & INVES","Investigator, Oversight and Investigations Subcommittee",Investigator
ISSUES DIRECTOR,Issues Director,Director  
IT DIRECTOR,IT Director,Information technology director  
IT SYSTEMS MANAGER,IT Systems Manager,Information technology systems manager  
JOURNAL CLERK,Journal Clerk,Journal clerk  
JR LEGISLATIVE AIDE,Junior Legislative Aide,Junior legislative aide  
JUDICIARY COUNSEL,Judiciary Counsel,Judiciary counsel  
JUNIOR PROFESSIONAL STAFF (S),Junior Professional Staff ,Junior professional staff
KITSAP COUNTY DIRECTOR,Kitsap County Director,District director  
LABOR LIAISON,Labor Liaison,Liaison  
LABOR POLICY DIRECTOR,Labor Policy Director,Policy director  
LAS VEGAS NM FIELD REP,Las Vegas New Mexico Field Representative,Field director representative  
LAW REVISION COUNSEL,Law Revision Counsel,Law revision counsel
LAWTON FIELD REPRESENTATIVE,Lawton Field Representative,Field director representative  
LC,Legislative Correspondent,Legislative correspondent 
LC FOR IMMIGRATION & INTL TRAD,Legislative Correspondent for Immigration and International Trade,Legislative correspondent
LEAD CASE SPECIALIST,Lead Case Specialist,Lead case specialist  
LEG ASST & SYSTEMS ADM,Legislative Assistant and Systems Administrator,Legislative assistant/systems administrator  
LEG CORR & DEPUTY PRESS SEC,Legislative Correspondent and Deputy Press Secretary,Legislative correspondent/deputy press secretary  
LEGAL FELLOW,Legal Fellow,Legal fellow  
LEGIS ASST FOR APPROPRIATIONS,Legislative Assistant for Appropriations,Legislative assistant
LEGIS ASST-INTERGOV’T AFFAIRS,Legislative Assistant - Intergovernmental Affairs,Legislative assistant
LEGIS ASST-OFFICE MANAGER,Legislative Assistant - Office Manager,Legislative assistant/office manager  
LEGIS DIRECTOR & LEGAL COUNSEL,Legislative Director and Legal Counsel,Legislative director/counsel  
LEGIS. ASST-HIGHWAYS & TRAN SC,Legislative Assistant - Highways and ,Legislative assistant
LEGIS. CORRESPONDENCE MANAGER,Legislative Correspondence Manager,Legislative correspondence manager  
LEGISLATIVE & TECH CORR,Legislative and Technology Correspondent,Legislative and technical correspondence  
LEGISLATIVE ASST & COUNSEL,Legislative Assistant and Counsel,Legislative assistant/counsel  
LEGISLATIVE ASST & DEPUTY PRES,Legislative Assistant and Deputy Press Secretary,Legislative assistant/deputy press secretary
LEGISLATIVE ASST & SYS ADMIN,Legislative Assistant and Systems Administrator,Legislative assistant/systems administrator  
LEGISLATIVE ASST-AVIATION SUB.,Legislative Assistant - Aviation Subcommittee,Legislative assistant
"LEGISLATIVE CLERK,F.C.","Legislative Clerk, Full Committee",Legislative clerk
LEGISLATIVE OPERATIONS ADVISOR,Legislative Operations Advisor,Legislative operations advisor  
LEGISLATIVE REPRESENTATIVE,Legislative Representative,Legislative representative  
LEGISLATIVE RESEARCH DIRECTOR,Legislative Research Director,Legislative research director  
LEGISLATIVE SPECIAL ASSISTANT,Legislative Special Assistant,Legislative special assistant  
LEGISLATIVE STAFF ASST (MIN),Legislative Staff Assistant (Minority),Staff assistant
LIBRARY CLERK,Library Clerk,Library clerk  
LOCKSMITH,Locksmith,Locksmith  
LOW COUNTRY COORDINATOR,Low Country Coordinator,District coordinator  
MAJ FULL COMM STAFF DIRECTOR,Majority Full Committee Staff Director,Staff director  
MANAGER MODULAR FURNITURE,Manager Modular Furniture,Manager
MANAGER OF COMMUNITY RELATIONS,Manager of Community Relations,Manager
MANAGER PROJECTS & GRANTS,Manager of Projects and Grants,Manager
"MANAGER, CABINET",Manager of the Cabinet,Manager
"MANAGER, CAO FIRST CALL PLUS","Manager, Chief Administrative Officer Call Plus",Manager
"MANAGER, CAO HUMAN RESOURCES","Manager, Chief Administrative Officer of Human Resources",Manager
"MANAGER, CARPET",Manager of Carpet,Manager
"MANAGER, CENT REC & WAREHOUSE",Manager of Central Receiving and Warehouse,Manager
"MANAGER, FINISHING",Manager of Finishing,Manager
"MANAGER, LOGISTICS",Manager of Logistics,Manager
"MANAGER, NETWORK SYST ENGINEER",Manager of Network Systems Engineer,Manager
"MANAGER, PERFORMANCE & AWARDS",Manager of Performance and Awards,Manager
"MANAGER, SALES & CUSTOMER SVC",Manager of Sales and Customer Service,Manager
"MANAGER, TECH SOLUTIONS",Manager of Technology Solutions,Manager
MANHATTAN COMMUNITY REP ,Manhattan Community Representative ,District community liaison
MANHATTAN DIRECTOR,Manhattan Director,District director  
MANUSCRIPT EDITOR,Manuscript Editor,Manuscript editor  
MARKETING & INVENTORY MANAGER,Marketing and Inventory Manager,Manager  
MCALLEN DISTRICT OFFICE STAFF,McAllen District Office Staff ,District office staff  
MEDIA COORDINATOR,Media Coordinator,Media coordinator  
MEMBER SERVICES MANAGER,Member Services Manager,Manager  
"MGR, CHAMBER SUPPORT SERVICES","Manager, Chamber Support Services",Manager
"MGR,REPUB FLOOR INFO SERVICE","Manager, Republican Floor Information Service",Manager
MIDLANDS AREA DIRECTOR,Midlands Area Director,District director  
MIL & VETERANS AFFAIRS DIR,Military and Veterans Affairs Director,Director  
MILITARY & DEFENSE AFFAIRS REP,Military and Defense Affairs Representative,Liaison
MILITARY & VET AFFAIRS LIASION,Military and Veterans Affairs Liaison,Liaision  
MILITARY & VETERANS CASEWORKER,Military and Veterans Caseworker,Caseworker  
MILITARY CASEWORKER,Military Caseworker,Caseworker  
"MIN CNS, ECON DEV, PB & EM SUB","Minority Counsel, Subcommittee on Economic Development, Public Buildings and Emergency Management",Counsel
MIN DISTINGUISHED PROF STF MEM,Minority Distinguished Professional Staff Member,Professional staff
"MIN LEGIS STAF ASST, COAST GRD","Minority Legislative Staff Assistant, Coast Guard",Staff assistant
"MIN. LEG ASST, WATER & POWER","Minority Legislative Assistant, Subcommittee on Water and Power",Legislative assistant
"MIN. STF DIR, ENERGY & MINERAL","Minority Staff Director, Energy and Minerals Subcommittee",Staff director
"MIN. STF DIR,SUB ON RAIL,PL,HZ","Minority Staff Director, Subcommittee on Railroads, Pipelines, and Hazardous Materials",Staff director
MIN-CHIEF OVERSIGHT COUNSEL,Minority - Chief Oversight Counsel,Chief counsel  
MINORITY - PROF STAFF - WATER,Minority - Professional Staff - Subcommittee on Water and Power,Professional staff
MINORITY BUDGET ANALYST,Minority Budget Analyst,Budget analyst  
MINORITY COMMUNICATIONS DIRECT,Minority Communications Director,Communications director  
MINORITY COUNSEL,Minority Counsel,Counsel  
MINORITY- COUNSEL - WATER,Minority - Counsel - Subcommittee on Water and Power,Counsel
"MINORITY COUNSEL, RAILROADS","Minority Counsel, Subcommittee on Railroads, Pipelines, and Hazardous Materials",Counsel
MINORITY DEPUTY STAFF DIRECTOR,Minority Deputy Staff Director,Deputy staff director  
MINORITY POLICY DIRECTOR,Minority Policy Director,Policy director  
MINORITY RESEARCH ASSISTANT,Minority Research Assistant,Research assistant  
MINORITY STAFF ASSISTANT (P),Minority Staff Assistant,Staff assistant   
MINORITY-PRO STAFF-COAST GUARD,Minority - Professional Staff - Subcommittee on Coast Guard and Maritime Administration,Professional staff
MINORITY-PROF STAFF-AVIATION,Minority - Professional Staff - Subcommittee on Aviation,Professional staff
MINORITY-SR LEGISLATIVE ASST,Minority - Senior Legislative Assistant,Senior legislative assistant  
MINORITY-STAFF DIR.-HIGHWAYS,Minority - Staff Director - Highways,Staff director
MINORITY-STAFF DIR-COAST GUARD,Minority - Staff Director - Coast Guard,Staff director
"MINORITY-STAFF DIR-ED, PB & EM","Minority - Staff Director - Subcommittee on Economic Development, Public Buildings and Emergency Management",Staff director
MIN-STAFF DIR & COUNS-AVIATION,Minority - Staff Director and Counsel - Aviation,Staff director/counsel 
MIN-STAFF DIR-WATER RESOURCES,Minority - Staff Director - Water Resources,Staff director
MOBILE COMM SPEC - TELEPHONY,Mobile Communications Specialist - Telephony,Mobile communication specialist
MOBILE COMM SPECIALIST (DATA),Mobile Communications Specialist (Data),Mobile communication specialist
N Y CHIEF OF STAFF,New York Chief of Staff,District chief of staff  
NATIONAL TRIP DIRECTOR,National Trip Director,National trip director  
NDC PRESS SECRETARY,New Democrat Coalition Press Secretary,Press secretary  
NETWORK ADMINISTRATOR,Network Administrator,Network administrator  
NETWORK COMM SPECIALIST (A),Network Communications Specialist ,Network communication specialist   
NETWORK COORDINATOR (A),Network Coordinator ,Network coordinator   
NETWORK ENG & CONF BRANCH MGR,Network Engineer and Conference Branch Manager,Network engineer and conference branch manager  
NETWORK OPER BRANCH MGR,Network Operations Branch Manager,Network operations branch manager  
NETWORK SECURITY OP SPECIALIST,Network Security Operations Specialist,Network security operations specialist  
NETWORK TECHNICIAN (A),Network Technician ,Network technician   
NEW JERSEY DIRECTOR,New Jersey Director,District director  
NEW MEDIA COORDINATOR,New Media Coordinator,New media coordinator  
NEW YORK CHIEF OF STAFF,New York Chief of Staff,District chief of staff  
NORTHEAST AREA DIRECTOR,Northeast Area Director,District director  
NORTHERN SI OFFICE DIRECTOR,Northern Site Office Director,District office director  
OFFICE ASSISTANT (C),Office Assistant ,Office assistant   
OFFICE LIAISON,Office Liaison,Liaison  
